glac,month,prev_mean_elev_m,onset_mean_elev_m
6001,8,3670.9,3977.3333333333335
6009,8,2870.5,2862.6666666666665
6016,8,3336.8,3464.4583333333335
6023,8,2277.3,2282.5416666666665
6025,8,2403.1,2417.0
6026,8,2390.9,2432.0
6029,8,2576.8,2583.0
6031,8,3328.2,3501.5833333333335
6043,8,2529.15,2593.0
6047,8,3575.0,3663.2916666666665
6052,8,3274.45,3338.0416666666665
6053,8,2553.3,2605.375
6058,8,3309.45,3361.25
6063,8,2773.9,2751.4583333333335
6064,8,2698.35,2854.125
6069,8,2053.7,2097.625
6114,8,2194.1,2462.4583333333335
6117,8,3157.55,3301.0
6120,8,2722.0,2727.0
6121,8,2720.8,2711.625
6126,8,2711.1,2828.7916666666665
6128,8,2725.85,2740.75
6135,8,2751.0,2721.3333333333335
6137,8,2820.5,2768.75
6148,8,2749.8,2830.5833333333335
6218,8,2849.2,2889.9166666666665
6246,8,2200.4,2152.125
6255,8,2640.2,2543.7083333333335
6257,8,2102.65,2140.0
6259,8,2192.15,2244.0
6302,8,2168.05,2268.25
